condition,calibrator,episode,coverage_certified,coverage_allk,steps,success
speed_between,split cp,0,0.9977777777777778,0.9994394841269841,600,0
speed_between,split cp,1,0.9979166666666667,0.9994791666666667,600,0
speed_between,split cp,2,0.9976388888888889,0.9994097222222222,600,0
speed_between,split cp,3,0.9975,0.999375,600,0
speed_between,split cp,4,0.9977777777777778,0.9994444444444445,600,0
speed_between,split cp,5,0.9977777777777778,0.9994444444444445,600,0
speed_between,split cp,6,0.9975,0.999375,600,0
speed_between,split cp,7,0.9979166666666667,0.9994791666666667,600,0
speed_between,split cp,8,0.9972222222222222,0.9993055555555556,600,0
speed_between,split cp,9,0.9970833333333333,0.9990178571428572,600,0
speed_between,split cp,10,0.9979166666666667,0.9994791666666667,600,0
speed_between,split cp,11,0.9975,0.9993171296296296,600,0
speed_between,split cp,12,0.99875,0.9996875,600,0
speed_between,split cp,13,0.9977777777777778,0.9994444444444445,600,0
speed_between,split cp,14,0.9977777777777778,0.9994444444444445,600,0
speed_between,split cp,15,0.9979166666666667,0.9994791666666667,600,0
speed_between,split cp,16,0.9970833333333333,0.9992708333333333,600,0
speed_between,split cp,17,0.9972222222222222,0.9993055555555556,600,0
speed_between,split cp,18,0.9968055555555555,0.9991898148148148,600,0
speed_between,split cp,19,0.9983333333333333,0.9995833333333334,600,0
speed_between,split cp,20,0.9922222222222222,0.9968055555555555,600,0
speed_between,split cp,21,0.9891666666666666,0.9960416666666667,600,0
speed_between,split cp,22,0.9923611111111111,0.9972411616161616,600,0
speed_between,split cp,23,0.99375,0.9971875,600,0
speed_between,split cp,24,0.9923611111111111,0.9976736111111111,600,0
speed_between,split cp,25,0.9923611111111111,0.9970039682539683,600,0
speed_between,split cp,26,0.9918055555555556,0.997449494949495,600,0
speed_between,split cp,27,0.9906944444444444,0.9963888888888889,600,0
speed_between,split cp,28,0.9919444444444444,0.9967152777777778,600,0
speed_between,split cp,29,0.9927777777777778,0.9973611111111111,600,0
speed_between,split cp,30,0.9927777777777778,0.9977777777777778,600,0
speed_between,split cp,31,0.99375,0.9978125,600,0
speed_between,split cp,32,0.9919444444444444,0.9974900793650794,600,0
speed_between,split cp,33,0.9920833333333333,0.9971875,600,0
speed_between,split cp,34,0.9916666666666667,0.996875,600,0
speed_between,split cp,35,0.9925,0.9974652777777778,600,0
speed_between,split cp,36,0.9926388888888888,0.998125,600,0
speed_between,split cp,37,0.9925925925925926,0.9980092592592592,600,0
speed_between,split cp,38,0.9919444444444444,0.9979745370370371,600,0
speed_between,split cp,39,0.9918055555555556,0.9979143518518518,600,0
speed_between,online cp,0,0.971455938697318,0.9517670707325879,145,1
speed_between,online cp,1,0.9791235334713596,0.9570274762044948,161,1
speed_between,online cp,2,0.9757777777777777,0.9587170644170644,125,1
speed_between,online cp,3,0.981408573928259,0.956021708679189,127,1
speed_between,online cp,4,0.9801117685733071,0.9679374181593117,169,1
speed_between,online cp,5,0.9847417840375587,0.974325117370892,142,1
speed_between,online cp,6,0.9731735159817352,0.954480593607306,146,1
speed_between,online cp,7,0.9814102564102564,0.9649038461538462,130,1
speed_between,online cp,8,0.981760374832664,0.9742605843509458,166,1
speed_between,online cp,9,0.9805555555555555,0.9692588979307729,160,1
speed_between,online cp,10,0.9728535353535354,0.9548611111111112,132,1
speed_between,online cp,11,0.9757959714100065,0.9569582247944821,171,1
speed_between,online cp,12,0.9839285714285715,0.9776785714285714,140,1
speed_between,online cp,13,0.9792703150912107,0.9702904751412214,134,1
speed_between,online cp,14,0.9825046040515654,0.9712170042971148,181,1
speed_between,online cp,15,0.9678819444444444,0.9546117691625504,128,1
speed_between,online cp,16,0.9805996472663139,0.958851638514337,126,1
speed_between,online cp,17,0.984375,0.9807942708333334,128,1
speed_between,online cp,18,0.9795795795795795,0.9751889151889152,185,1
speed_between,online cp,19,0.9792768959435626,0.9629478068962196,126,1
speed_between,online cp,20,0.9767795138888888,0.9566117548539423,128,1
speed_between,online cp,21,0.9751736111111111,0.9527868716931217,160,1
speed_between,online cp,22,0.9685054773082942,0.948847833178819,142,1
speed_between,online cp,23,0.9793103448275862,0.9704022988505747,145,1
speed_between,online cp,24,0.9841549295774648,0.9750586854460094,142,1
speed_between,online cp,25,0.980187908496732,0.9708698674691322,136,1
speed_between,online cp,26,0.9755003450655625,0.9673572085839166,161,1
