alpha,window,gamma,replan_every,stale,tau,n_samples,success,steps,collisions,closest,near,heading,jerk,minutes
0.1,300,0.01,4,0.5,0.6,4,0.36666666666666664,510.90909090909093,0.0,0.8975043740617704,0.003239377618192699,33.16841160904669,43.64694215455741,2.8
0.05,300,0.01,4,0.5,0.6,4,0.3333333333333333,501.0,0.03333333333333333,1.0224975635421005,0.0011666666666666668,31.00438275440437,35.86065795777673,2.7
0.2,300,0.01,4,0.5,0.6,4,0.4666666666666667,398.42857142857144,0.0,0.9157239846548724,0.0016545454545454545,30.03096658989886,42.778413230841394,2.5
0.3,300,0.01,4,0.5,0.6,4,0.6666666666666666,367.55,0.0,0.7685531500866443,0.0027997789180139255,27.37619348809196,39.89691281741368,2.1
0.1,100,0.01,4,0.5,0.6,4,0.9333333333333333,345.25,0.0,0.8374883858134456,0.0035418794174985305,19.40774545942839,31.874209908222124,1.6
0.1,200,0.01,4,0.5,0.6,4,0.6666666666666666,439.55,0.0,0.9658652140770188,0.0,27.94699641485873,38.035456493710356,2.1
0.1,600,0.01,4,0.5,0.6,4,0.16666666666666666,381.2,0.0,1.15007622060326,0.0002520478890989288,36.856629821974806,53.88940783300534,3.4
0.1,300,0.003,4,0.5,0.6,4,0.5,483.6,0.0,0.9058601823300569,0.00198880538318136,34.45080506515838,49.09710287398544,2.7
0.1,300,0.03,4,0.5,0.6,4,0.43333333333333335,486.38461538461536,0.0,0.8316101527593224,0.0032646103202086272,29.38733840115979,40.940278589569274,3.0
0.1,300,0.01,2,0.5,0.6,4,0.7666666666666667,446.1304347826087,0.0,0.6774595281645934,0.009173711104774352,40.12917900869272,64.6067888680295,4.4
0.1,300,0.01,8,0.5,0.6,4,0.03333333333333333,533.0,0.0,1.303965606516827,0.0011666666666666668,31.57952190046961,39.40640606215694,3.2
0.1,300,0.01,4,0.75,0.6,4,0.26666666666666666,478.0,0.0,0.9232325055853801,0.00044444444444444447,33.355627461555585,42.830814630709874,3.6
0.1,300,0.01,4,1.0,0.6,4,0.3,478.6666666666667,0.0,0.921938620813364,0.004058941897624856,34.31821970789321,45.00905134576663,3.7
0.1,300,0.01,4,0.5,0.0,4,0.4666666666666667,495.42857142857144,0.0,0.945668856905191,0.0008162393162393163,30.770070131091074,41.86895775899075,4.5
0.1,300,0.01,4,0.5,0.3,4,0.3333333333333333,469.3,0.0,0.9155144382837418,0.0013743257820927723,32.508082156761546,43.77878260791438,4.2
0.1,300,0.01,4,0.5,0.9,4,0.23333333333333334,464.42857142857144,0.0,0.8454681734988205,0.004951224812670596,34.42313022219138,44.345942764486814,3.0
0.1,300,0.01,4,0.5,0.6,2,0.5,485.0,0.0,0.9072637970504583,0.0024104477611940297,36.180096000615194,52.074941287994804,3.1
0.1,300,0.01,4,0.5,0.6,8,0.23333333333333334,439.85714285714283,0.0,0.9771854223198465,0.0,32.211203873345006,41.17902418900032,3.9
0.2,100,0.01,4,0.5,0.6,4,0.7333333333333333,339.3636363636364,0.0,0.8569743431745191,0.003318207124228404,23.158963389721023,29.921452174062374,2.1
0.2,200,0.01,4,0.5,0.6,4,0.8,403.8333333333333,0.0,0.7989884230260281,0.008196556674950695,27.224587050996966,44.12399193692192,2.4
0.3,100,0.01,4,0.5,0.6,4,0.7666666666666667,353.95652173913044,0.0,0.839100698784782,0.002721240105564987,23.552690954643126,33.447990187935744,2.3
0.3,200,0.01,4,0.5,0.6,4,0.8,373.5416666666667,0.0,0.8099079694403256,0.00267831629362076,28.141023020743717,42.488624257728844,2.4
